SIGNET,89fc2230-4645-4e0f-801b-b21dfc37c02b,t,f,2020-09-16 12:16:30.747488
DEI/A,6b79c2b7-6fa7-4be5-9585-437ad2ae488a,t,f,2020-09-16 11:46:46.85298
Settore TLC-reti,90f030d4-3715-4019-817d-5e83f66e11f3,t,f,2020-09-16 11:20:58.069099
DEI/A,90f030d4-3715-4019-817d-5e83f66e11f3,f,t,2020-09-16 11:20:58.068193
DEI/A,90f030d4-3715-4019-817d-5e83f66e11f3,t,f,2020-09-16 11:19:24.502476
Settore TLC-reti,90f030d4-3715-4019-817d-5e83f66e11f3,f,f,2020-09-16 10:34:04.530982
SIGNET,89fc2230-4645-4e0f-801b-b21dfc37c02b,f,f,2020-09-16 10:04:57.177833
DEI/A,44032c54-c066-47dd-a9f6-a667e3210450,t,f,2020-09-16 07:28:20.237634
Settore TLC-reti,d1c23b1a-f2ba-4323-be02-74c60cbb945d,t,f,2020-09-16 07:06:22.454577
Settore TLC-reti,90f030d4-3715-4019-817d-5e83f66e11f3,t,f,2020-09-16 06:49:09.513977
SIGNET,23f20da2-eee4-417d-b08e-4d467b1f4e59,t,f,2020-09-16 06:48:51.338071
Settore TLC-reti,90f030d4-3715-4019-817d-5e83f66e11f3,f,f,2020-09-16 06:46:25.614696
Settore TLC-reti,90f030d4-3715-4019-817d-5e83f66e11f3,t,t,2020-09-16 06:46:25.614124
DEI/A,90f030d4-3715-4019-817d-5e83f66e11f3,f,t,2020-09-16 06:46:25.613669
DEI/A,90f030d4-3715-4019-817d-5e83f66e11f3,t,f,2020-09-16 06:46:25.202132
SIGNET,89fc2230-4645-4e0f-801b-b21dfc37c02b,t,f,2020-09-16 06:07:10.987812
DEI/A,55ab6175-95f7-4f8a-8518-dfa45c6b706e,f,f,2020-09-15 17:25:16.659123
DEI/A,55ab6175-95f7-4f8a-8518-dfa45c6b706e,t,t,2020-09-15 17:25:16.657999
Settore TLC-reti,55ab6175-95f7-4f8a-8518-dfa45c6b706e,f,f,2020-09-15 17:24:26.142616
Settore TLC-reti,92b2de07-f20e-42d2-98ec-fad0437607bc,f,f,2020-09-15 17:22:59.78612
DEI/A,c6f6d152-34c7-4c06-be9c-db64b0df16bf,f,f,2020-09-15 16:51:58.164064
Settore TLC-reti,1db2c613-330e-40ec-986b-d0baa731d949,f,f,2020-09-15 16:47:02.804353
Settore TLC-reti,ef026036-6a4b-4cee-bb91-130cc7692093,f,f,2020-09-15 16:30:41.905948
SIGNET,4379cfa2-0578-4ba7-8017-26f45420dbf2,f,f,2020-09-15 16:09:48.742205
DEI/A,865d461f-71b9-416c-9598-154a79964f1a,f,f,2020-09-15 15:46:22.879386
DEI/A,865d461f-71b9-416c-9598-154a79964f1a,t,t,2020-09-15 15:46:22.878431
Settore TLC-reti,865d461f-71b9-416c-9598-154a79964f1a,f,f,2020-09-15 15:45:56.749921
